Codice;Gender;Age;Titolodistudio;Statocivile;StatusOccupazionale;Annidiscolarizzazione;CERQ_SelfBlame;CERQ_Acceptance;CERQ_Rumination;CERQ_PositiveRefocusing;CERQ_RefocusOnPlanning;CERQ_PositiveReappraisal;CERQ_PuttingIntoPerspective;CERQ_Catastrophizing;CERQ_OtherBlame;CISS_SF_TaskOriented;CISS_SF_EmotionOriented;CISS_SF_TreatOneselfOriented;CISS_SF_ContactFriendOriented;DD_Machiavellianism;DD_Psychopathy;DD_Narcissism;RSA_PerceptionOfSelf;RSA_PerceptionOfFuture;RSA_SructuredStyle;RSA_SocialCompetence;RSA_FamilyCohesion;RSA_SocialResources;SREIS_PerceivingEmotion;SREIS_UseOfEmotion;SREIS_UnderstandingEmotion;SREIS_ManagingEmotion;SREIS_SocialManagement;NVQ;SIMP_Extraversion;SIMP_Agreeableness;SIMP_Conscientiousness;SIMP_EmotionalStability;SIMP_Openess;RAS;SOCS_Cognitive;SOCS_Motivational
BB001;1;30;3;1;4;13;3;4;3,25;2,25;4,5;3,75;3,75;2,75;3,25;4,43;1,14;1,666667;2;6,75;5,5;7,5;4,17;4;3;4,2;3,4;3,83;4,25;3,33;4;3;3,75;1,6;8;1;7;8;8;1;6,14;6,5
AA001;0;31;3;1;4;13;3;2,75;4,5;1,75;2,5;2;1,5;2,5;4,25;3,14;4,14;4;4;1,5;3;5,75;2,67;1,75;3;4,8;3,8;4,83;4,25;4,67;4,5;2,75;4,5;3,33;8;5;8;4;8;1,87;3,57;4,75
BB002;0;30;5;1;8;18;2,25;2,75;3,5;4;4;4;3,25;1,25;1,5;4,14;3;3,333333;4;2;3,75;4,5;4,17;3,75;4,33;4;4,2;4,67;4;3,33;3,75;3,5;4,25;2;6;4;6;3;7;1,2;5,71;7
CC001;0;61;2;2;1;8;3,5;3,25;3,5;1,75;3,5;2,75;3;2,75;2;3,71;3,57;2,333333;4;1;2,75;2,75;2;1,5;4,33;3,8;3,6;4,5;3,25;3,33;2;2,75;3;2,27;2;9;5;4;7;2,6;3,86;5,5
DD001;1;33;3;1;4;13;2,5;2,75;3;2,75;3,25;3;2,75;2,25;2;3,71;3,14;3,333333;4;2,25;1,75;2,25;3,83;3,75;4,67;4;3,8;4;3,25;3,67;2,75;2,5;3,25;2,47;7;5;6;3;7;1,6;5,71;5
DD002;0;27;4;1;8;16;2;2,5;4,75;2,5;4;4,25;4;1,5;1,75;4;1,86;2;4,333333;1,5;1,25;3;4;4;4,67;3,8;4;4,67;3,5;4;3,5;3,25;3,25;2,8;5;7;8;5;4;1,97;4,43;6,5
CC002;0;30;4;1;5;16;2,75;4;3;3,75;4;4,25;4;1,75;2;4;3,86;3;3;2;5;5;3,67;4;2,67;4,4;4;5;3;4,33;3,25;3,75;3,25;3,33;4;5;1;4;2;1,83;4,14;5,25
AA002;1;66;2;2;6;8;2,5;3,5;4;4;3,75;3,5;4,5;3,75;1,75;4,71;2,86;2;1,666667;2;4,75;1;4,5;4;3;3,2;3,8;3,17;4;3;3,5;3,25;3,5;3,07;6;4;4;6;4;1,73;3,57;5,75
NN001;0;30;5;1;8;18;2,5;3,25;2,5;2,25;4,25;3;3,5;2;2,75;2,86;2,57;2,666667;3;5,75;4,5;4,75;2,5;3;2,67;3,4;2,6;3,5;3;4;3;2;3,5;3,73;4;6;3;2;7;2,43;3,86;3,5
GG001;0;29;5;2;3;18;2,5;3;3,75;1;3;2,5;1,75;2,5;2;3,43;3,86;2,666667;2,333333;3;1,5;5,5;2,17;2,75;4,33;2,8;2,4;4;3,5;3;3;2,5;2,25;4,07;2;8;6;2;8;2,73;3,29;5
QQ001;0;32;6;1;5;21;2,25;3;3,75;2;5;4,25;3,75;1,25;1,25;4,71;1,71;1,666667;3;1,25;1;2,5;5;3,75;4,33;4;2,4;3,83;4;4,33;3,75;3,75;4,5;2,6;5;4;6;5;5;1,33;5,71;6,25
OO001;1;27;5;1;8;18;2,75;4,5;2,5;2;4;3,75;3,25;1,75;2,25;4,14;2;1;1,666667;4,25;3;4,25;3,5;4,25;5;4,2;4,2;4,67;3,75;2,67;4,25;4,5;3,75;2,93;5;7;5;9;9;2,27;3,43;5
RR001;0;47;6;2;4;21;3,25;4,5;4,25;3,25;4,75;4;3,5;2,5;2,25;4,29;2,14;2;4,666667;2;1,25;5,5;3,67;4,25;4,33;3;4,8;4,5;3,5;3,67;4;2,75;3;1,87;5;3;4;5;9;1,3;5,71;6,25
FF001;1;46;3;1;3;13;2,5;2,75;3;4;4;4;4;2;2;4;2,14;2;2;2,5;3,75;3;4,5;4;3,33;4,6;4;4,67;4;2,33;4,25;3,75;4;1,87;7;5;6;5;7;1,07;4,57;6,25
FF002;1;44;5;2;4;18;2,5;2,75;2,25;1,75;4;3,25;2,75;2,5;1,75;3,14;3,14;1;3;5,5;3,25;5;3,5;3,5;3,33;4;3,8;3,83;3,75;2,67;3,25;3;3,5;3,2;6;5;4;4;8;1,87;4;3,5
GG002;0;47;5;2;7;18;2,25;2,5;4;2,5;4,5;4,25;3,5;2;1,75;4,14;3,14;1,666667;3,333333;2;1,5;4;4;3,75;3;3,6;4,2;4;4;4,33;3,75;4;3,75;2,47;6;6;6;4;6;1,2;5,43;5,5
EE001;0;40;5;2;4;18;2,75;2,75;4,25;2;5;4,25;3,75;1,75;1,25;4,29;2,29;2;4;1,25;1,5;2;3,83;3,5;4;4;3,2;3,83;4,75;3;4,25;4;4,5;2;5;7;3;6;8;1,63;5,14;6,25
II001;1;24;4;1;8;16;2,75;4;5;1,75;4,25;4;3;1,5;2;3,86;3,29;2,333333;4,333333;2,5;2;5,25;4,17;3,75;3,67;4,2;4,4;4,67;3,75;3,33;3,5;2,5;4;2,93;7;6;5;5;8;1,67;3,86;5,5
II002;1;24;4;1;2;16;2,5;2,5;3;2;4,25;3,25;3,5;1,75;2,25;4;2,57;2,333333;4;3,5;2,5;5;4,17;3,25;3;4,4;4,4;4,33;3,75;3,33;3;3,75;4;3,2;7;4;2;7;8;1,67;3,86;5
